Manufacturer,Description,Quantity,Unit Price($),Ext.Price($)
UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06
Samsung Electro-Mechanics,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.0012,0.12
FH (Guangdong Fenghua Advanced Tech),50V 15pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.001,0.1
Samsung Electro-Mechanics,25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,20,0.011,0.22
Abracon LLC,SMD3225-4P Crystals ROHS,1,0.3731,0.37
Samsung Electro-Mechanics,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,50,0.0052,0.26
UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 220Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06
UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 27Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06
UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 33Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06
UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06
UNI-ROYAL(Uniroyal Elec),62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0005,0.05
Winbond Elec,16Mbit SPI 133MHz USON-8-EP(2x3) NOR FLASH ROHS,1,0.6178,0.62
Texas Instruments,"65dB@(100kHz) 300mA Fixed 3.3V Positive 6V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",5,0.201,1.01
XKB Connection,5A 1 12P Male -55℃~+85℃ Type-C SMD USB Connectors ROHS,1,1.0428,1.04
Raspberry Pi,QFN-60-EP(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,1,1.6544,1.65
Abracon LLC,0806 Power Inductors ROHS,5,0.2584,`
Kingbright,SMD3528-4P RGB LEDs ROHS,1,1.6213,1.62
Shipping,,,,11.71
Handling Fee,,,,3
PCB,,,,17.9
Stencil,,,,7
JLC Shipping,,,,7.78
TOTAL,,,,54.75